Dataset_Size,Precision,Recall,F1-Score,Accuracy,Processing_Time_sec
662,0.061855670103092786,0.009218612818261633,0.016045845272206302,0.8854009077155824,0.09535932540893555
661,0.17725258493353027,0.02633889376646181,0.04586279380852284,0.8887477718360072,0.07946538925170898
660,0.14896755162241887,0.022168568920105356,0.03859380970576997,0.8877086494688923,0.07171988487243652
659,0.11946902654867257,0.01777875329236172,0.03095147115017195,0.8866440193098516,0.0634920597076416
658,0.09131075110456553,0.013608428446005268,0.023686723973256923,0.8855985316501029,0.07941341400146484
657,0.09264705882352942,0.01382791922739245,0.024064171122994655,0.8854465566714491,0.06396627426147461
656,0.12076583210603829,0.017998244073748903,0.03132760267430755,0.8861472833408173,0.0791161060333252
655,0.21029411764705883,0.031387181738366986,0.05462184873949579,0.8886940097139774,0.06366920471191406
654,0.21029411764705883,0.031387181738366986,0.05462184873949579,0.888523556436357,0.10150790214538574
653,0.21029411764705883,0.031387181738366986,0.05462184873949579,0.888352580295922,0.06397104263305664
652,0.20913107511045656,0.031167690956979806,0.05425023877745941,0.8881584892021325,0.09681487083435059
651,0.1791044776119403,0.027137042062415198,0.04713275726630008,0.8885878300803673,0.10979032516479492
650,0.09118086696562033,0.013794663048394391,0.02396385778825378,0.8857254559253042,0.07944869995117188
649,0.20757575757575758,0.03193473193473193,0.055353535353535356,0.8906659184436962,0.06380200386047363
648,0.09104704097116843,0.013986013986013986,0.02424732269145282,0.886913961875322,0.06457853317260742
647,0.20757575757575758,0.03193473193473193,0.055353535353535356,0.8903274228351628,0.05005788803100586
646,0.23787878787878788,0.036596736596736595,0.06343434343434344,0.891097016678412,0.06607556343078613
645,0.14696969696969697,0.02261072261072261,0.039191919191919194,0.8881046489742142,0.06364107131958008
644,0.23787878787878788,0.036596736596736595,0.06343434343434344,0.890758282671191,0.07974743843078613
643,0.23787878787878788,0.036596736596736595,0.06343434343434344,0.8905881242329841,0.07953262329101562
642,0.17727272727272728,0.02727272727272727,0.04727272727272727,0.8885264501489151,0.0646357536315918
641,0.17727272727272728,0.02727272727272727,0.04727272727272727,0.8883522727272727,0.08389782905578613
640,0.08952959028831563,0.013752913752913752,0.023843200646595272,0.8854507516479347,0.06356263160705566
639,0.0637329286798179,0.009790209790209791,0.016973125884016973,0.8844637598556094,0.06836056709289551
638,0.09104704097116843,0.013986013986013986,0.02424732269145282,0.8851386708529566,0.11151003837585449
637,0.036923076923076927,0.0057692307692307696,0.00997920997920998,0.8848089017900339,0.06929755210876465
636,0.08782742681047766,0.013701923076923077,0.023705552089831567,0.8862507571168988,0.06321001052856445
635,0.11419753086419752,0.017788461538461538,0.030782029950083188,0.8869206503275904,0.06403231620788574
634,0.11419753086419752,0.017788461538461538,0.030782029950083188,0.8867420099647588,0.06858062744140625
633,0.08782742681047766,0.013701923076923077,0.023705552089831567,0.8857108081791626,0.08000659942626953
632,0.08936825885978428,0.013942307692307693,0.02412143896860054,0.8855784469096672,0.0793609619140625
631,0.08641975308641975,0.013461538461538462,0.023294509151414306,0.8853235653235654,0.06340599060058594
